deck,front,back,tags,note_type,media
AgilePG::Glossary,"What does 'ATDD' stand for?",acceptance test-driven development,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'BDD' stand for?",behavior-driven development,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'BRD' stand for?",business requirement documents,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'DA' stand for?",Disciplined Agile,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'DoD' stand for?",definition of done,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'DoR' stand for?",definition of ready,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'DSDM' stand for?",Dynamic Systems Development Method,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'Evo' stand for?",evolutionary value delivery,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'LeSS' stand for?",Large-Scale Scrum,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'LSD' stand for?",Lean Software Development,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'PDCA' stand for?",Plan-Do-Check-Act,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'PMO' stand for?",project management office,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'ROI' stand for?",return on investment,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'RUP' stand for?",rational unified process,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'SAFe®' stand for?",Scaled Agile Framework®,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'SBE' stand for?",specification by example,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'XP' stand for?",eXtreme Programming,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"What does 'WIP' stand for?",work in progress,Agile::Glossary::Acronym,Basic,
AgilePG::Glossary,"A way of thinking and a systematic problem-solving process that collects the pertinent information on a single A3-size sheet of paper.",A3,Agile::Practice::Lean,Basic,
AgilePG::Glossary,"A method of collaboratively creating acceptance test criteria that are used to create acceptance tests before delivery begins.",Acceptance Test-Driven Development,Agile::Practice::TDD,Basic,
AgilePG::Glossary,"A term used to describe a mindset of values and principles as set forth in the Agile Manifesto.",Agile,Agile::Mindset,Basic,
AgilePG::Glossary,"An individual with knowledge and experience in agile who can train, mentor, and guide organizations and teams through their transformation.",Agile Coach,Agile::Role::Coach,Basic,
AgilePG::Glossary,"An approach that is both iterative and incremental to refine work items and deliver frequently.",Agile Life Cycle,Agile::Lifecycle::Agile,Basic,
AgilePG::Glossary,"The original and official definition of agile values and principles.",Agile Manifesto,Agile::Mindset::Principle,Basic,
AgilePG::Glossary,"A way of thinking and behaving underpinned by the four values and twelve principles of the Agile Manifesto.",Agile Mindset,Agile::Mindset,Basic,
AgilePG::Glossary,"A person embracing the agile mindset who collaborates with like-minded colleagues in cross-functional teams. Also referred to as agilist.",Agile Practitioner,Agile::Role,Basic,
AgilePG::Glossary,"The twelve principles of agile project delivery as embodied in the Agile Manifesto.",Agile Principles,Agile::Mindset::Principle,Basic,
AgilePG::Glossary,"A simplistic and understandable approach to developing business application software using agile techniques and concepts. It is a simplified version of the Rational Unified Process (RUP).",Agile Unified Process,Agile::Framework::RUP,Basic,
AgilePG::Glossary,"A known, flawed pattern of work that is not advisable.",Anti-Pattern,Agile::Practice,Basic,
AgilePG::Glossary,"The scripted testing of code base for bugs and vulnerabilities.",Automated Code Quality Analysis,Agile::Practice::TDD,Basic,
AgilePG::Glossary,"The progressive elaboration of project requirements and/or the ongoing activity in which the team collaboratively reviews, updates, and writes requirements to satisfy the need of the customer request.",Backlog Refinement,Agile::Practice::BacklogRefinement,Basic,
AgilePG::Glossary,"A system design and validation practice that uses test-first principles and English-like scripts.",Behavior-Driven Development,Agile::Practice::TDD,Basic,
AgilePG::Glossary,"Two or more agile frameworks, methods, elements, or practices used together such as Scrum practiced in combination with XP and Kanban Method.",Blended Agile,Agile::Lifecycle::Hybrid,Basic,
AgilePG::Glossary,"Refers to a person with various depths of specialization in multiple skills required by the team. Also known as Paint Drip. See also T-shaped and I-shaped.",Broken Comb,Agile::Role,Basic,
AgilePG::Glossary,"A graphical representation of the work remaining versus the time left in a timebox.",Burndown Chart,Agile::Metric::Burndown,Basic,
AgilePG::Glossary,"A graphical representation of the work completed toward the release of a product.",Burnup Chart,Agile::Metric::Burnup,Basic,
AgilePG::Glossary,"Listing of all requirements for a specific project.",Business Requirement Documents,Agile::Artifact,Basic,
AgilePG::Glossary,"A rhythm of execution. Related to Timeboxing.",Cadence,Agile::Event,Basic,
AgilePG::Glossary,"A project acceleration and collaboration technique whereby any team member is authorized to modify any project work product or deliverable, thus emphasizing team-wide ownership and accountability.",Collective Code Ownership,Agile::Practice::XP,Basic,
AgilePG::Glossary,"The practice of delivering feature increments immediately to customers, often through the use of small batches of work and automation technology.",Continuous Delivery,Agile::Practice::ContinuousDelivery,Basic,
AgilePG::Glossary,"A practice in which each team member’s work products are frequently integrated and validated with one another.",Continuous Integration,Agile::Practice::ContinuousIntegration,Basic,
AgilePG::Glossary,"A team that includes practitioners with all the skills necessary to deliver valuable product increments.",Cross-Functional Team,Agile::Role,Basic,
