ID,deck,front,back,tags,note_type,media
1,PMBOK6::Integration,{{c1::Tailoring}} is the process of adapting project management practices to fit the project's environment.,Tailoring,KA::Integration ECO::Process, Cloze,
2,PMBOK6::Integration,{{c1::EEFs}} are typically considered as inputs to most planning processes.,EEFs,KA::Integration PG::Planning, Cloze,
3,PMBOK6::Integration,What type of organizational structure gives the project manager full authority?,Projectized structure.,KA::Integration ECO::People, Basic,
4,PMBOK6::Integration,In which structure does the functional manager control the budget and resources?,Functional or Weak Matrix structure.,KA::Integration, Basic,
5,PMBOK6::Integration,Which matrix structure offers a balance of power between project and functional managers?,Balanced Matrix.,KA::Integration, Basic,
6,PMBOK6::Integration,{{c1::Strong Matrix}} organizations give more authority and resources to the project manager.,Strong Matrix,KA::Integration PG::Executing, Cloze,
7,PMBOK6::Integration,Which structure type uses full-time project managers and high PM authority?,Projectized and Strong Matrix.,KA::Integration ECO::People, Basic,
8,PMBOK6::Integration,{{c1::Directive PMO}} has the highest level of control over projects.,Directive PMO,KA::Integration ECO::Business, Cloze,
9,PMBOK6::Integration,{{c1::A project manager}} is assigned by the performing organization to lead the project team.,A project manager,KA::Integration,Cloze,
10,PMBOK6::Integration,{{c1::Strategic and Business Management}} skills help align projects with organizational goals.,Strategic and Business Management,KA::Integration ECO::Business,Cloze,
11,PMBOK6::Integration,Which leadership style focuses on serving others and building collaboration?,Servant leadership,KA::Integration ECO::People,Basic,
12,PMBOK6::Integration,What type of power comes from knowledge or certification?,Expert power,KA::Integration ECO::People,Basic,
13,PMBOK6::Integration,Integration at which level involves coordinating processes like scope and change control?,Process level,KA::Integration,Basic,
14,PMBOK6::Integration,What are three dimensions of complexity in projects?,"System behavior, Human behavior, Ambiguity",KA::Integration,Basic,
15,PMBOK6::Integration,"Which leadership style emphasizes inspiration, innovation, and individual consideration?",Transformational leadership,KA::Integration ECO::People,Basic,
16,PMBOK6::Integration,{{c1::Tailoring tools and methods}} is a key technical project management skill for adapting to project needs.,Tailoring tools and methods,KA::Integration ECO::Process,Cloze,
17,PMBOK6::Integration,"{{c1::Leadership skills}} involve guiding, motivating, and influencing teams to achieve goals.",Leadership skills,KA::Integration ECO::People,Cloze,
18,PMBOK6::Integration,What percentage of time do top project managers reportedly spend on communication?,About 90%,KA::Integration ECO::People,Basic,
19,PMBOK6::Integration,{{c1::Positional power}} is based on the authority granted by the organization or team structure.,Positional power,KA::Integration ECO::People,Cloze,
20,PMBOK6::Integration,A project manager controls access to data and decision-making by managing how information is shared. What type of power is this?,Informational,KA::Integration ECO::People,Basic,
21,PMBOK6::Integration,{{c1::Informational power}} is based on control of information flow and access.,Informational power,KA::Integration ECO::People,Cloze,
22,PMBOK6::Integration,"When a project manager earns influence through respect and personal credibility, they are using what kind of power?",Referent,KA::Integration ECO::People,Basic,
23,PMBOK6::Integration,{{c1::Referent power}} comes from the admiration and respect others have for the individual.,Referent power,KA::Integration ECO::People,Cloze,
24,PMBOK6::Integration,"Which form of power is derived from the uniqueness of a situation, such as handling a crisis that only one person can resolve?",Situational,KA::Integration ECO::People,Basic,
25,PMBOK6::Integration,{{c1::Situational power}} arises due to specific events or emergencies.,Situational power,KA::Integration ECO::People,Cloze,
