ID,deck,front,back,tags,note_type,media
1,PMBOK6::Procurement,"{{c1::Project Procurement Management}} involves acquiring goods, services, or results from outside the project team.",,KA::Procurement,Cloze,
2,PMBOK6::Procurement,The project manager is usually not authorized to {{c1::sign legal agreements}} binding the organization.,,KA::Procurement,Cloze,
3,PMBOK6::Procurement,The legal enforceability of a contract depends on {{c1::whether it is included in the contract document}}.,,KA::Procurement,Cloze,
4,PMBOK6::Procurement,"A {{c1::contract}} should clearly state deliverables, results, and any required knowledge transfer.",,KA::Procurement,Cloze,
5,PMBOK6::Procurement,"In procurement, the {{c1::seller}} may also act as a buyer to lower-tier subcontractors or suppliers.",,KA::Procurement,Cloze,
6,PMBOK6::Procurement,"Procurement agreements can take forms such as {{c1::contracts, SLAs, MOAs, or purchase orders}}.",,KA::Procurement,Cloze,
7,PMBOK6::Procurement,"Project Procurement Management must comply with {{c1::local, national, and international laws}}.",,KA::Procurement,Cloze,
8,PMBOK6::Procurement,"In {{c1::centralized purchasing}}, procurement is handled by a separate department; in {{c2::decentralized purchasing}}, the project manager may negotiate and sign contracts.",,KA::Procurement,Cloze,
9,PMBOK6::Procurement,"In international contracts, {{c1::legal jurisdictions}} must be clearly spelled out in the contract.",,KA::Procurement,Cloze,
10,PMBOK6::Procurement,"A {{c1::procurement statement of work (SOW)}} defines deliverables, milestones, and performance standards from the seller.",,KA::Procurement,Cloze,
11,PMBOK6::Procurement,Use of standardized legal language in contracts allows {{c1::appendices or annexes}} to contain scope-specific sections.,,KA::Procurement,Cloze,
12,PMBOK6::Procurement,The {{c1::buyer-seller}} relationship may exist at many levels and between both internal and external organizations.,,KA::Procurement,Cloze,
13,PMBOK6::Procurement,A trend in procurement is assigning {{c1::risk ownership}} to the party best able to manage the risk.,,KA::Procurement,Cloze,
14,PMBOK6::Procurement,The use of {{c1::building information modeling (BIM)}} in construction projects helps reduce claims and delays.,,KA::Procurement,Cloze,
15,PMBOK6::Procurement,"In complex projects, long-lead items may be procured based on {{c1::top-level design}}, before final design is complete.",,KA::Procurement,Cloze,
