ID,deck,front,back,tags,note_type,media
1,PMBOK6::Schedule,What is the main benefit of applying Project Schedule Management?,Timely project completion,KA::Schedule ECO::Process, Basic,
2,PMBOK6::Schedule,What does a schedule model represent in project management?,Plan for delivery over time,KA::Schedule ECO::Process, Basic,
3,PMBOK6::Schedule,What is the output when scheduling data is processed using a scheduling method and tool?,Project schedule,KA::Schedule ECO::Process, Basic,
4,PMBOK6::Schedule,Why is project scheduling important for stakeholder communication?,It sets timing expectations,KA::Schedule ECO::Business, Basic,
5,PMBOK6::Schedule,What type of planning accommodates new knowledge and change during the project?,Rolling wave planning,KA::Schedule PG::Planning, Basic,
6,PMBOK6::Schedule,{{c1::Critical path method}} is a scheduling technique used to determine the longest path.,Critical path method,KA::Schedule PG::Planning, Cloze,
7,PMBOK6::Schedule,What type of scheduling is based on adaptive life cycles and product backlogs?,Iterative scheduling,KA::Schedule PG::Planning, Basic,
8,PMBOK6::Schedule,{{c1::On-demand scheduling}} pulls tasks as resources become available.,On-demand scheduling,KA::Schedule PG::Planning, Cloze,
9,PMBOK6::Schedule,What is the primary goal of on-demand scheduling in Kanban systems?,Limit work in progress,KA::Schedule ECO::Process, Basic,
10,PMBOK6::Schedule,"In adaptive planning, why might a project plan need to change?",Priorities shift,KA::Schedule ECO::Business, Basic,
11,PMBOK6::Schedule,What does a flexible schedule model allow a project team to accommodate?,Risk and discoveries,KA::Schedule ECO::Business, Basic,
12,PMBOK6::Schedule,What project role stays consistent across predictive and adaptive methodologies?,Project manager,KA::Schedule ECO::People, Basic,
13,PMBOK6::Schedule,What is the purpose of the Plan Schedule Management process?,To define how the schedule will be managed,KA::Schedule PG::Planning ECO::Process,Basic,
14,PMBOK6::Schedule,What is the key output of the Plan Schedule Management process?,Schedule management plan,KA::Schedule PG::Planning ECO::Process,Basic,
15,PMBOK6::Schedule,{{c1::Alternatives analysis}} is used to determine the best scheduling methodology or level of detail.,Alternatives analysis,KA::Schedule PG::Planning ECO::Process,Cloze,
16,PMBOK6::Schedule,{{c1::Expert judgment}} is used in the Plan Schedule Management process to leverage specialized knowledge.,Expert judgment,KA::Schedule PG::Planning ECO::People,Cloze,
17,PMBOK6::Schedule,What does the schedule management plan define regarding performance thresholds?,Control thresholds,KA::Schedule PG::Planning ECO::Process,Basic,
18,PMBOK6::Schedule,What type of project information includes staff hours or cubic yards?,Units of measure,KA::Schedule PG::Planning ECO::Process,Basic,
19,PMBOK6::Schedule,The {{c1::schedule management plan}} may define rules for earned value techniques such as SPI and SV.,schedule management plan,KA::Schedule PG::Planning ECO::Process,Cloze,
20,PMBOK6::Schedule,What input influences summary schedule milestones and is a source for the Plan Schedule Management process?,Project charter,KA::Schedule PG::Planning ECO::Business,Basic,
21,PMBOK6::Schedule,{{c1::Rolling wave planning}} is an iterative planning technique in which near-term work is planned in detail and future work at a higher level.,Rolling wave planning,KA::Schedule PG::Planning, Cloze,
22,PMBOK6::Schedule,What does the activity list include?,Activity ID and work description,KA::Schedule PG::Planning, Basic,
23,PMBOK6::Schedule,"{{c1::Activity attributes}} extend the description of activities by including components such as IDs, relationships, and constraints.",Activity attributes,KA::Schedule PG::Planning, Cloze,
24,PMBOK6::Schedule,What is the purpose of activity attributes?,To describe components related to an activity,KA::Schedule PG::Planning, Basic,
25,PMBOK6::Schedule,{{c1::Milestone list}} identifies significant events and indicates if they are mandatory or optional.,Milestone list,KA::Schedule PG::Planning, Cloze,
26,PMBOK6::Schedule,How long is a milestone's duration in a schedule?,Zero,KA::Schedule PG::Planning, Basic,
27,PMBOK6::Schedule,{{c1::Finish-to-start (FS)}} means the successor cannot start until the predecessor finishes.,Finish-to-start (FS),KA::Schedule PG::Planning,Cloze,
28,PMBOK6::Schedule,{{c1::Finish-to-finish (FF)}} means the successor cannot finish until the predecessor finishes.,Finish-to-finish (FF),KA::Schedule PG::Planning,Cloze,
29,PMBOK6::Schedule,{{c1::Start-to-start (SS)}} means the successor cannot start until the predecessor starts.,Start-to-start (SS),KA::Schedule PG::Planning,Cloze,
30,PMBOK6::Schedule,{{c1::Start-to-finish (SF)}} means the successor cannot finish until the predecessor starts.,Start-to-finish (SF),KA::Schedule PG::Planning,Cloze,
31,PMBOK6::Schedule,Editing cannot finish until writing finishes. What relationship is this?,Finish-to-finish,KA::Schedule PG::Planning,Basic,
32,PMBOK6::Schedule,Pouring concrete and leveling must start at the same time. What relationship is this?,Start-to-start,KA::Schedule PG::Planning,Basic,
33,PMBOK6::Schedule,You cannot shut down the old system until the new one starts. What relationship is this?,Start-to-finish,KA::Schedule PG::Planning,Basic,
34,PMBOK6::Schedule,"{{c1::Mandatory dependencies}} are legally or contractually required, or inherent to the work.",Mandatory dependencies,KA::Schedule PG::Planning,Cloze,
35,PMBOK6::Schedule,{{c1::Discretionary dependencies}} are based on best practices or specific project decisions.,Discretionary dependencies,KA::Schedule PG::Planning,Cloze,
36,PMBOK6::Schedule,{{c1::External dependencies}} are outside the project team's control.,External dependencies,KA::Schedule PG::Planning,Cloze,
37,PMBOK6::Schedule,{{c1::Internal dependencies}} are within the control of the project team.,Internal dependencies,KA::Schedule PG::Planning,Cloze,
38,PMBOK6::Schedule,A {{c1::lead}} is the amount of time a successor activity can be advanced with respect to a predecessor activity.,lead,KA::Schedule PG::Planning,Cloze,
39,PMBOK6::Schedule,A {{c1::lag}} is the amount of time a successor activity will be delayed with respect to a predecessor activity.,lag,KA::Schedule PG::Planning,Cloze,
40,PMBOK6::Schedule,Landscaping scheduled task starts 2 weeks before the punch list  is complete. What is this an example of?,Lead,KA::Schedule PG::Planning,Basic,
41,PMBOK6::Schedule,Editing scheduled task starts 15 days after writing scheduled task starts. What is this an example of?,Lag,KA::Schedule PG::Planning,Basic,
42,PMBOK6::Schedule,What is the purpose of the Sequence Activities process in project schedule management?,Define logical sequence of work,KA::Schedule PG::Planning ECO::Process,Basic,
43,PMBOK6::Schedule,What is the key benefit of the Sequence Activities process?,Efficiency in sequencing work,KA::Schedule PG::Planning ECO::Business,Basic,
44,PMBOK6::Schedule,What output visually represents logical relationships between project activities?,Project schedule network diagram,KA::Schedule PG::Planning ECO::Process,Basic,
45,PMBOK6::Schedule,{{c1::Project schedule network diagrams}} are used to depict logical relationships among project activities.,Project schedule network diagrams,KA::Schedule PG::Planning ECO::Process,Cloze,
46,PMBOK6::Schedule,{{c1::Path convergence}} occurs when an activity has multiple predecessor activities.,Path convergence,KA::Schedule PG::Planning ECO::Process,Cloze,
47,PMBOK6::Schedule,{{c1::Path divergence}} occurs when an activity has multiple successor activities.,Path divergence,KA::Schedule PG::Planning ECO::Process,Cloze,
48,PMBOK6::Schedule,Which technique uses historical data from similar projects to estimate duration?,Analogous estimating,KA::Schedule PG::Planning ECO::Process,Basic,
49,PMBOK6::Schedule,Which estimating technique multiplies units of work by time per unit?,Parametric estimating,KA::Schedule PG::Planning ECO::Process,Basic,
50,PMBOK6::Schedule,What is the three-point estimating formula using triangular distribution?,(tO + tM + tP) / 3,KA::Schedule PG::Planning ECO::Process,Basic,
51,PMBOK6::Schedule,What estimating technique involves decomposing work into detailed components?,Bottom-up estimating,KA::Schedule PG::Planning ECO::Process,Basic,
52,PMBOK6::Schedule,What does reserve analysis determine in duration estimating?,Contingency and management reserves,KA::Schedule PG::Planning ECO::Process,Basic,
53,PMBOK6::Schedule,What law describes how work expands to fill available time?,Parkinson's Law,KA::Schedule PG::Planning ECO::Process,Basic,
54,PMBOK6::Schedule,"{{c1::Duration estimates}} are quantitative assessments of the likely number of time periods that are required to complete an activity, a phase, or a project.",Duration estimates,KA::Schedule PG::Planning ECO::Process,Cloze,
55,PMBOK6::Schedule,{{c1::Bottom-up estimating}} is a method of estimating project duration or cost by aggregating the estimates of the lowerlevel components of the WBS.,Bottom-up estimating,KA::Schedule PG::Planning ECO::Process,Cloze,
56,PMBOK6::Schedule,{{c1::Triangular distribution}} is used when there is insufficient historical data or when using judgmental data.,Three-point estimating,KA::Schedule PG::Planning ECO::Process,Cloze,
57,PMBOK6::Schedule,"{{c1::Develop Schedule}} is the process of analyzing activity sequences, durations, resource requirements, and constraints to create a schedule model.",Develop Schedule,KA::Schedule PG::Planning ECO::Process,Cloze,
58,PMBOK6::Schedule,{{c1::Critical path method}} estimates the minimum project duration and determines schedule flexibility.,Critical path method,KA::Schedule PG::Planning ECO::Process,Cloze,
59,PMBOK6::Schedule,What does the critical path determine?,The shortest possible project duration.,KA::Schedule PG::Planning ECO::Process,Basic,
60,PMBOK6::Schedule,{{c1::Resource leveling}} adjusts start/finish dates based on resource constraints and may change the critical path.,Resource leveling,KA::Schedule PG::Planning ECO::Process,Cloze,
61,PMBOK6::Schedule,{{c1::Resource smoothing}} adjusts activities so resources don't exceed limits without changing the critical path.,Resource smoothing,KA::Schedule PG::Planning ECO::Process,Cloze,
62,PMBOK6::Schedule,{{c1::What-if scenario analysis}} evaluates scenarios to predict impact on project objectives.,What-if analysis,KA::Schedule PG::Planning ECO::Process,Cloze,
63,PMBOK6::Schedule,"{{c1::Simulation}} uses risks and uncertainties to calculate schedule outcomes, often using Monte Carlo analysis.",Simulation,KA::Schedule PG::Planning ECO::Process,Cloze,
64,PMBOK6::Schedule,{{c1::Crashing}} adds resources to shorten schedule duration at least cost increase.,Crashing,KA::Schedule PG::Planning ECO::Process,Cloze,
65,PMBOK6::Schedule,{{c1::Fast tracking}} performs activities in parallel to reduce duration but may increase risk.,Fast tracking,KA::Schedule PG::Planning ECO::Process,Cloze,
66,PMBOK6::Schedule,{{c1::Schedule baseline}} is the approved schedule version used to compare against actual results.,Schedule baseline,KA::Schedule PG::Planning ECO::Process,Cloze,
67,PMBOK6::Schedule,{{c1::Bar charts}} show activities and durations graphically on a time scale.,Bar charts,KA::Schedule PG::Planning ECO::Process,Cloze,
68,PMBOK6::Schedule,{{c1::Project calendars}} identify working days and shifts for scheduled activities.,Project calendars,KA::Schedule PG::Planning ECO::Process,Cloze,
69,PMBOK6::Schedule,{{c1::PMIS}} includes scheduling software to generate dates from activity and resource data.,PMIS,KA::Schedule PG::Planning ECO::Process,Cloze,
70,PMBOK6::Schedule,"{{c1::What-if scenario}} analysis is the process of evaluating scenarios in order to predict their effect, positive or negative, on project objectives.",What-if scenario analysis,KA::Schedule PG::Planning ECO::Process,Cloze,
71,PMBOK6::Schedule,{{c1::Simulation}} models the combined effects of individual project risks and other sources of uncertainty to evaluate their potential impact on achieving project objectives.,Simulation,KA::Schedule PG::Planning ECO::Process,Cloze,
72,PMBOK6::Schedule,"The most common simulation technique is {{c1::Monte Carlo analysis}}, in which risks and other sources of uncertainty are used to calculate possible schedule outcomes for the total project.",Monte Carlo analysis,KA::Schedule PG::Planning ECO::Process,Cloze,
73,PMBOK6::Schedule,What is the minimum information included in a project schedule?,Planned start and finish dates for each activity.,KA::Schedule PG::Planning ECO::Process,Basic,
74,PMBOK6::Schedule,{{c1::Earned value analysis}} assesses schedule performance using SV and SPI.,Earned value analysis,KA::Schedule PG::Monitoring,Cloze,
75,PMBOK6::Schedule,{{c1::Iteration burndown chart}} tracks remaining work against ideal and forecast lines.,Iteration burndown chart,KA::Schedule PG::Monitoring,Cloze,
