ID,deck,front,back,tags,note_type,media
9,PMBOK6 - Core Terms,{{c1::Tailoring}} is the process of adapting project management practices to fit the project's environment.,Tailoring,KA::Integration ECO::Process, Cloze,
16,PMBOK6 - Core Terms,{{c1::EEFs}} are typically considered as inputs to most planning processes.,EEFs,KA::Integration PG::Planning, Cloze,
23,PMBOK6 - Core Terms,What type of organizational structure gives the project manager full authority?,Projectized structure.,KA::Integration ECO::People, Basic,
24,PMBOK6 - Core Terms,In which structure does the functional manager control the budget and resources?,Functional or Weak Matrix structure.,KA::Integration, Basic,
25,PMBOK6 - Core Terms,Which matrix structure offers a balance of power between project and functional managers?,Balanced Matrix.,KA::Integration, Basic,
26,PMBOK6 - Core Terms,{{c1::Strong Matrix}} organizations give more authority and resources to the project manager.,Strong Matrix,KA::Integration PG::Executing, Cloze,
27,PMBOK6 - Core Terms,Which structure type uses full-time project managers and high PM authority?,Projectized and Strong Matrix.,KA::Integration ECO::People, Basic,
33,PMBOK6 - Core Terms,{{c1::Directive PMO}} has the highest level of control over projects.,Directive PMO,KA::Integration ECO::Business, Cloze,
38,PMBOK6 - Core Terms,{{c1::A project manager}} is assigned by the performing organization to lead the project team.,A project manager,KA::Integration,Cloze,
44,PMBOK6 - Core Terms,{{c1::Strategic and Business Management}} skills help align projects with organizational goals.,Strategic and Business Management,KA::Integration ECO::Business,Cloze,
45,PMBOK6 - Core Terms,Which leadership style focuses on serving others and building collaboration?,Servant leadership,KA::Integration ECO::People,Basic,
46,PMBOK6 - Core Terms,What type of power comes from knowledge or certification?,Expert power,KA::Integration ECO::People,Basic,
48,PMBOK6 - Core Terms,Integration at which level involves coordinating processes like scope and change control?,Process level,KA::Integration,Basic,
50,PMBOK6 - Core Terms,What are three dimensions of complexity in projects?,"System behavior, Human behavior, Ambiguity",KA::Integration,Basic,
51,PMBOK6 - Core Terms,"Which leadership style emphasizes inspiration, innovation, and individual consideration?",Transformational leadership,KA::Integration ECO::People,Basic,
55,PMBOK6 - Core Terms,{{c1::Tailoring tools and methods}} is a key technical project management skill for adapting to project needs.,Tailoring tools and methods,KA::Integration ECO::Process,Cloze,
61,PMBOK6 - Core Terms,"{{c1::Leadership skills}} involve guiding, motivating, and influencing teams to achieve goals.",Leadership skills,KA::Integration ECO::People,Cloze,
63,PMBOK6 - Core Terms,What percentage of time do top project managers reportedly spend on communication?,About 90%,KA::Integration ECO::People,Basic,
71,PMBOK6 - Core Terms,{{c1::Positional power}} is based on the authority granted by the organization or team structure.,Positional power,KA::Integration ECO::People,Cloze,
72,PMBOK6 - Core Terms,A project manager controls access to data and decision-making by managing how information is shared. What type of power is this?,Informational,KA::Integration ECO::People,Basic,
73,PMBOK6 - Core Terms,{{c1::Informational power}} is based on control of information flow and access.,Informational power,KA::Integration ECO::People,Cloze,
74,PMBOK6 - Core Terms,"When a project manager earns influence through respect and personal credibility, they are using what kind of power?",Referent,KA::Integration ECO::People,Basic,
75,PMBOK6 - Core Terms,{{c1::Referent power}} comes from the admiration and respect others have for the individual.,Referent power,KA::Integration ECO::People,Cloze,
76,PMBOK6 - Core Terms,"Which form of power is derived from the uniqueness of a situation, such as handling a crisis that only one person can resolve?",Situational,KA::Integration ECO::People,Basic,
77,PMBOK6 - Core Terms,{{c1::Situational power}} arises due to specific events or emergencies.,Situational power,KA::Integration ECO::People,Cloze,
78,PMBOK6 - Core Terms,A charismatic leader who inspires and motivates others through personality is displaying what kind of power?,Personal or Charismatic,KA::Integration ECO::People,Basic,
79,PMBOK6 - Core Terms,{{c1::Charismatic power}} relies on charm and personal appeal.,Charismatic power,KA::Integration ECO::People,Cloze,
80,PMBOK6 - Core Terms,Project managers who build alliances and network effectively to influence outcomes are using what type of power?,Relational,KA::Integration ECO::People,Basic,
81,PMBOK6 - Core Terms,{{c1::Relational power}} comes from a network of connections and relationships.,Relational power,KA::Integration ECO::People,Cloze,
82,PMBOK6 - Core Terms,What type of power is demonstrated by a project manager who is trusted due to certifications and experience?,Expert,KA::Integration ECO::People,Basic,
83,PMBOK6 - Core Terms,"{{c1::Expert power}} is based on skills, knowledge, or credentials.",Expert power,KA::Integration ECO::People,Cloze,
84,PMBOK6 - Core Terms,What type of power is used when a manager motivates team members by offering bonuses or public praise?,Reward-oriented,KA::Integration ECO::People,Basic,
85,PMBOK6 - Core Terms,{{c1::Reward power}} involves the ability to offer recognition or benefits.,Reward power,KA::Integration ECO::People,Cloze,
86,PMBOK6 - Core Terms,"When a project manager influences behavior by threatening consequences, what power type are they using?",Punitive or Coercive,KA::Integration ECO::People,Basic,
87,PMBOK6 - Core Terms,{{c1::Coercive power}} is based on the ability to administer discipline or penalties.,Coercive power,KA::Integration ECO::People,Cloze,
88,PMBOK6 - Core Terms,Flattery and finding common ground to gain cooperation is an example of what type of power?,Ingratiating,KA::Integration ECO::People,Basic,
89,PMBOK6 - Core Terms,{{c1::Ingratiating power}} involves using praise to gain favor.,Ingratiating power,KA::Integration ECO::People,Cloze,
90,PMBOK6 - Core Terms,Restricting options to force compliance is an example of what type of power?,Pressure-based,KA::Integration ECO::People,Basic,
91,PMBOK6 - Core Terms,{{c1::Pressure-based power}} limits freedom of action to influence behavior.,Pressure-based power,KA::Integration ECO::People,Cloze,
92,PMBOK6 - Core Terms,Invoking a sense of obligation to gain compliance is an example of what kind of power?,Guilt-based,KA::Integration ECO::People,Basic,
93,PMBOK6 - Core Terms,{{c1::Guilt-based power}} leverages a person's duty or conscience.,Guilt-based power,KA::Integration ECO::People,Cloze,
94,PMBOK6 - Core Terms,What type of power is used when convincing arguments are made to shift decisions?,Persuasive,KA::Integration ECO::People,Basic,
95,PMBOK6 - Core Terms,{{c1::Persuasive power}} involves using logic and reasoning to influence decisions.,Persuasive power,KA::Integration ECO::People,Cloze,
96,PMBOK6 - Core Terms,A project manager who consistently avoids responsibility or participation may be demonstrating what type of power?,Avoiding,KA::Integration ECO::People,Basic,
97,PMBOK6 - Core Terms,{{c1::Avoiding power}} is shown by withdrawal or lack of involvement.,Avoiding power,KA::Integration ECO::People,Cloze,
98,PMBOK6 - Core Terms,"Which leadership style involves a hands-off approach, allowing the team to make decisions?",Laissez-faire,KA::Integration ECO::People,Basic,
99,PMBOK6 - Core Terms,{{c1::Laissez-faire leadership}} allows the team to set goals and make decisions independently.,Laissez-faire leadership,KA::Integration ECO::People,Cloze,
100,PMBOK6 - Core Terms,"Which leadership style focuses on feedback, rewards, and management by exception?",Transactional,KA::Integration ECO::People,Basic,
101,PMBOK6 - Core Terms,{{c1::Transactional leadership}} emphasizes structured goals and reward-based outcomes.,Transactional leadership,KA::Integration ECO::People,Cloze,
102,PMBOK6 - Core Terms,"Which leadership style puts others first and focuses on growth, autonomy, and collaboration?",Servant leader,KA::Integration ECO::People,Basic,
103,PMBOK6 - Core Terms,"{{c1::Servant leadership}} emphasizes service to others, collaboration, and people development.",Servant leadership,KA::Integration ECO::People,Cloze,
104,PMBOK6 - Core Terms,Which leadership style empowers followers and encourages innovation and creativity?,Transformational,KA::Integration ECO::People,Basic,
105,PMBOK6 - Core Terms,"{{c1::Transformational leadership}} motivates teams with vision, innovation, and individualized support.",Transformational leadership,KA::Integration ECO::People,Cloze,
106,PMBOK6 - Core Terms,"Which leadership style is based on inspiration, enthusiasm, and confidence?",Charismatic,KA::Integration ECO::People,Basic,
107,PMBOK6 - Core Terms,{{c1::Charismatic leadership}} involves inspiring others through personal energy and conviction.,Charismatic leadership,KA::Integration ECO::People,Cloze,
108,PMBOK6 - Core Terms,"Which leadership style combines transactional, transformational, and charismatic approaches?",Interactional,KA::Integration ECO::People,Basic,
109,PMBOK6 - Core Terms,{{c1::Interactional leadership}} blends multiple leadership models depending on context and needs.,Interactional leadership,KA::Integration ECO::People,Cloze,
110,PMBOK6 - Core Terms,Which personality trait refers to accepting others and showing genuine concern?,Authentic,KA::Integration ECO::People,Basic,
111,PMBOK6 - Core Terms,Which personality trait involves applying appropriate behavior and etiquette?,Courteous,KA::Integration ECO::People,Basic,
112,PMBOK6 - Core Terms,Which trait describes the ability to think abstractly and innovate?,Creative,KA::Integration ECO::People,Basic,
