ID,deck,front,back,tags,note_type,media,flag_reason
1,PMBOK6 - Core Terms,What is the PMI definition of a project?,"A temporary endeavor undertaken to create a unique product, service, or result.",KA::Integration PG::Initiating ECO::Process, Basic,,back_length_50_80_consider_cloze
3,PMBOK6 - Core Terms,What distinguishes a project from operations?,Projects are temporary and unique; operations are ongoing and repetitive.,KA::Integration, Basic,,back_length_50_80_consider_cloze
18,PMBOK6 - Core Terms,Name two examples of internal EEFs.,Organizational culture; Infrastructure; IT systems; Employee capabilities,KA::Integration ECO::Business, Basic,,back_length_50_80_consider_cloze
20,PMBOK6 - Core Terms,What are the two main categories of OPAs?,"Processes, policies, and procedures; Organizational knowledge bases",KA::Integration ECO::Business, Basic,,back_length_50_80_consider_cloze
31,PMBOK6 - Core Terms,What does a Controlling PMO do?,"Requires compliance with frameworks, tools, and governance. Control is moderate.",KA::Integration ECO::Business, Basic,,back_length_50_80_consider_cloze
32,PMBOK6 - Core Terms,What does a Directive PMO do?,Directly manages projects. Project managers report to the PMO. Control is high.,KA::Integration ECO::Business, Basic,,back_length_50_80_consider_cloze
35,PMBOK6 - Core Terms,True or False: Projects managed by a PMO must be related to each other.,False. Projects may be unrelated and simply managed together by the PMO.,KA::Integration, Basic,,back_length_50_80_consider_cloze
36,PMBOK6 - Core Terms,What is the primary responsibility of the project manager?,To lead the project team toward achieving the project objectives.,KA::Integration ECO::People, Basic,,back_length_50_80_consider_cloze
41,PMBOK6 - Core Terms,What is one way a project manager contributes to organizational maturity?,By advocating project management practices and knowledge sharing.,KA::Integration ECO::Business,Basic,,back_length_50_80_consider_cloze
42,PMBOK6 - Core Terms,What are the three components of the PMI Talent Triangle?,"Technical Project Management, Leadership, Strategic and Business Management",KA::Integration ECO::People,Basic,,back_length_50_80_consider_cloze
47,PMBOK6 - Core Terms,What should a project manager consider when choosing a leadership style?,"The situation, team dynamics, and organizational context.",KA::Integration ECO::People,Basic,,back_length_50_80_consider_cloze
52,PMBOK6 - Core Terms,Why is political awareness important for project managers?,"To build alliances, navigate influence, and make effective decisions.",KA::Integration ECO::People,Basic,,back_length_50_80_consider_cloze
53,PMBOK6 - Core Terms,What is the primary goal of technical project management skills?,To apply project knowledge effectively to deliver successful outcomes.,KA::Integration ECO::Process,Basic,,back_length_50_80_consider_cloze
54,PMBOK6 - Core Terms,Which four artifacts should a project manager keep readily available to focus on technical success?,"Critical success factors, Schedule, Financial reports, Issue log",KA::Integration ECO::Process,Basic,,back_length_50_80_consider_cloze
56,PMBOK6 - Core Terms,What is one reason top-performing project managers make time to plan thoroughly?,To prioritize work effectively and increase chances of project success.,KA::Integration ECO::Process,Basic,,back_length_50_80_consider_cloze
57,PMBOK6 - Core Terms,Strategic and business management skills help project managers do what?,Align projects with organizational strategy and deliver business value.,KA::Integration ECO::Business,Basic,,back_length_50_80_consider_cloze
58,PMBOK6 - Core Terms,Which business areas should a project manager understand to support strategic alignment?,"Finance, Marketing, Operations, Products, Market conditions, and Competition",KA::Integration ECO::Business,Basic,,back_length_50_80_consider_cloze
59,PMBOK6 - Core Terms,How can strategic business knowledge help a project manager make better decisions?,"By analyzing risks, cost-benefit tradeoffs, and aligning with business value",KA::Integration ECO::Business,Basic,,back_length_50_80_consider_cloze
62,PMBOK6 - Core Terms,What are the most critical people-oriented capabilities a project manager should master?,"Communication, conflict resolution, negotiation, empathy, and critical thinking",KA::Integration ECO::People,Basic,,back_length_50_80_consider_cloze
64,PMBOK6 - Core Terms,Why is political acumen important for project leaders?,"To build trust, manage conflicts, and navigate organizational dynamics.",KA::Integration ECO::People,Basic,,back_length_50_80_consider_cloze
65,PMBOK6 - Core Terms,Which leadership trait helps in managing diverse stakeholder expectations while maintaining focus?,Building trust and balancing opposing goals through consensus,KA::Integration ECO::People,Basic,,back_length_50_80_consider_cloze
66,PMBOK6 - Core Terms,How should a project manager handle feedback?,By accepting it graciously and providing constructive responses.,KA::Integration ECO::People,Basic,,back_length_50_80_consider_cloze
69,PMBOK6 - Core Terms,Which leadership skill enables the project manager to serve as a change agent?,Applying critical thinking and taking a systemic project view,KA::Integration ECO::People,Basic,,back_length_50_80_consider_cloze
70,PMBOK6 - Core Terms,What type of power does a project manager use when they rely on their formal job title or organizational role to influence others?,"Positional (also called formal, legitimate, or authoritative)",KA::Integration ECO::People,Basic,,back_length_50_80_consider_cloze
141,PMBOK6 - Core Terms,What should a project manager do if assumptions are identified during charter development?,Record them in the assumption log for ongoing review throughout the project.,KA::Integration PG::Initiating ECO::Process,Basic,,back_length_50_80_consider_cloze
143,PMBOK6 - Core Terms,When is the project manager ideally assigned to the project?,While the project charter is being developed and always before planning begins.,KA::Integration PG::Initiating ECO::People,Basic,,back_length_50_80_consider_cloze
154,PMBOK6 - Core Terms,What is the goal of the Cost Management Plan?,"To define how project costs will be planned, structured, and controlled.",KA::Cost PG::Planning ECO::Process,Basic,,back_length_50_80_consider_cloze
158,PMBOK6 - Core Terms,What does the Risk Management Plan establish?,It outlines how risk management activities will be structured and performed.,KA::Risk PG::Planning ECO::Process,Basic,,back_length_50_80_consider_cloze
163,PMBOK6 - Core Terms,What is the Cost Baseline?,"The approved, time-phased budget used to compare actual project spending.",KA::Cost PG::Planning ECO::Process,Basic,,back_length_50_80_consider_cloze
166,PMBOK6 - Core Terms,What does the Performance Measurement Baseline include?,An integrated scope-schedule-cost plan used to measure project performance.,KA::Integration PG::Monitoring ECO::Process,Basic,,back_length_50_80_consider_cloze
167,PMBOK6 - Core Terms,What is the Project Life Cycle?,It describes the phases a project passes through from initiation to closure.,KA::Integration PG::Initiating ECO::Process,Basic,,back_length_50_80_consider_cloze
172,PMBOK6 - Core Terms,A team member raises a defect during execution. What type of action should be initiated if the defect affects deliverable quality?,Submit a defect repair change request and log the issue for tracking.,KA::Integration PG::Executing ECO::Process,Basic,,back_length_50_80_consider_cloze
178,PMBOK6 - Core Terms,In what situation would a project manager use knowledge management tools like communities of practice and knowledge-sharing workshops?,To facilitate sharing of tacit knowledge among team members,KA::Integration ECO::People,Basic,,back_length_50_80_consider_cloze
182,PMBOK6 - Core Terms,A key stakeholder expresses concern about potential delays. What technique should you use to forecast future schedule performance?,"Trend analysis, which projects future performance based on historical data.",KA::Integration PG::Monitoring ECO::Process,Basic,,back_length_50_80_consider_cloze
183,PMBOK6 - Core Terms,The project manager notices frequent changes and wants to assess their cumulative impact. What analysis technique is appropriate?,"Earned value analysis to integrate scope, schedule, and cost performance.",KA::Integration PG::Monitoring ECO::Process,Basic,,back_length_50_80_consider_cloze
189,PMBOK6 - Core Terms,What should a project manager reference to determine how change requests should be handled and who is authorized to approve them?,The change management plan within the project management plan.,KA::Integration PG::Monitoring_Control ECO::Business,Basic,,back_length_50_80_consider_cloze
204,PMBOK6 - Core Terms,What is the key benefit of Plan Scope Management?,Provides structure and guidance for managing scope.,KA::Scope PG::Planning ECO::Process,Basic,,back_length_50_80_consider_cloze
209,PMBOK6 - Core Terms,What is the key benefit of the Collect Requirements process?,Provides the basis for defining the product and project scope.,KA::Scope PG::Planning ECO::Process,Basic,,back_length_50_80_consider_cloze
210,PMBOK6 - Core Terms,What is the primary output of the Collect Requirements process?,Requirements documentation and requirements traceability matrix,KA::Scope PG::Planning ECO::Process,Basic,,back_length_50_80_consider_cloze
220,PMBOK6 - Core Terms,What is the purpose of the Create WBS process?,"To subdivide deliverables and project work into smaller, manageable components.",KA::Scope PG::Planning ECO::Process,Basic,,back_length_50_80_consider_cloze
223,PMBOK6 - Core Terms,What is the 100 percent rule in WBS?,The total of the work at the lowest levels should roll up to the higher levels.,KA::Scope PG::Planning ECO::Process,Basic,,back_length_50_80_consider_cloze
240,PMBOK6 - Core Terms,What is the key benefit of the Control Scope process?,The scope baseline is maintained throughout the project.,KA::Scope PG::Monitoring ECO::Process,Basic,,back_length_50_80_consider_cloze
241,PMBOK6 - Core Terms,What does the Control Scope process monitor and manage?,The status of the project and product scope and changes to the scope baseline.,KA::Scope PG::Monitoring ECO::Process,Basic,,back_length_50_80_consider_cloze
267,PMBOK6 - Core Terms,What is the purpose of the Define Activities process?,To identify and document specific actions to produce deliverables.,KA::Schedule PG::Planning, Basic,,back_length_50_80_consider_cloze
295,PMBOK6 - Core Terms,What is the purpose of the Estimate Activity Durations process?,To estimate the number of work periods needed to complete each activity.,KA::Schedule PG::Planning ECO::Process,Basic,,back_length_50_80_consider_cloze
296,PMBOK6 - Core Terms,What is the key benefit of the Estimate Activity Durations process?,It provides the amount of time each activity will take to complete.,KA::Schedule PG::Planning ECO::Process,Basic,,back_length_50_80_consider_cloze
302,PMBOK6 - Core Terms,What is the impact of adding too many resources to an activity?,May increase duration due to coordination and learning curve.,KA::Schedule PG::Planning ECO::Process,Basic,,back_length_50_80_consider_cloze
