deck,front,back,tags,note_type,media
PMBOK6 - Core Terms,What is the PMI definition of a project?,"A temporary endeavor undertaken to create a unique product, service, or result.",KA::Integration PG::Initiating ECO::Process, Basic,
PMBOK6 - Core Terms,What does 'temporary' mean in the context of a project?,"It means the project has a defined beginning and end, not necessarily a short duration.",KA::Integration, Basic,
PMBOK6 - Core Terms,What distinguishes a project from operations?,"Projects are temporary and unique; operations are ongoing and repetitive.",KA::Integration, Basic,
PMBOK6 - Core Terms,What is project management?,"The application of knowledge, skills, tools, and techniques to project activities to meet project requirements.",KA::Integration ECO::Process, Basic,
PMBOK6 - Core Terms,What is a program in project management?,"A group of related projects managed in a coordinated manner to obtain benefits not available from managing them individually.",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,What is a portfolio?,"A collection of projects, programs, and operational work grouped to meet strategic business objectives.",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,How do operations differ from projects?,"Operations are ongoing and sustain the business; projects are temporary and create unique outputs.",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,What is the primary role of a project manager?,"To lead the team in achieving the project objectives while balancing constraints like scope, time, and cost.",KA::Integration PG::Executing ECO::People, Basic,
PMBOK6 - Core Terms,"{{c1::Tailoring}} is the process of adapting project management practices to fit the project's environment.",Tailoring,KA::Integration ECO::Process, Cloze,
PMBOK6 - Core Terms,What are the three types of PMOs?,"Supportive (low control), Controlling (moderate control), Directive (high control).",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,What is business value in a project context?,"The net benefit to the organization, which may be tangible (revenue) or intangible (brand recognition).",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,What is the purpose of the benefits management plan?,"To document how and when the benefits of the project will be delivered and measured.",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,Who are stakeholders in a project?,"Individuals or organizations affected by the project, or who can affect the project.",KA::Stakeholder ECO::People, Basic,
PMBOK6 - Core Terms,What are Enterprise Environmental Factors (EEFs)?,"Conditions, not under the control of the project team, that influence, constrain, or direct the project.",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,What are Organizational Process Assets (OPAs)?,"Plans, processes, policies, procedures, and knowledge bases used by the performing organization.",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,"{{c1::EEFs}} are typically considered as inputs to most planning processes.",EEFs,KA::Integration PG::Planning, Cloze,
PMBOK6 - Core Terms,What is the difference between EEFs and OPAs?,"EEFs are mostly external and not controlled by the team; OPAs are internal and can be updated by the team.",KA::Integration, Basic,
PMBOK6 - Core Terms,Name two examples of internal EEFs.,"Organizational culture; Infrastructure; IT systems; Employee capabilities",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,Name two examples of external EEFs.,"Marketplace conditions; Legal regulations; Social/political influences; Environmental conditions",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,What are the two main categories of OPAs?,"Processes, policies, and procedures; Organizational knowledge bases",KA::Integration ECO::Business, Basic,
