deck,front,back,tags,note_type,media
PMBOK7::Performance Domains,"An individual, group, or organization that may affect, be affected by, or perceive itself to be affected by a decision, activity, or outcome of a project, program, or portfolio.",Stakeholder,Domain::Stakeholders ECO::People,Basic,
PMBOK7::Performance Domains,"A method of systematically gathering and analyzing quantitative and qualitative information to determine whose interests should be taken into account throughout the project.",Stakeholder Analysis,Domain::Stakeholders ECO::People,Basic,
PMBOK7::Performance Domains,"Which performance domain focuses on managing relationships, expectations, and influence among individuals and groups affected by the project?",Stakeholder Performance Domain,Domain::Stakeholders ECO::People,Basic,
PMBOK7::Performance Domains,What stakeholder-related outcome indicates ongoing collaboration and mutual understanding throughout the project?,A productive working relationship with stakeholders,Domain::Stakeholders ECO::People,Basic,
PMBOK7::Performance Domains,What outcome signals that stakeholders understand and support the goals of the project?,Stakeholder agreement with project objectives,Domain::Stakeholders ECO::People,Basic,
PMBOK7::Performance Domains,What outcome reflects effective stakeholder engagement when beneficiaries are satisfied and opponents have minimal impact?,Supportive beneficiaries and limited negative impact from opponents,Domain::Stakeholders ECO::People,Basic,
PMBOK7::Performance Domains,"When does stakeholder engagement begin, and how long should it continue?","Before or at project start, and throughout the project",Domain::Stakeholders ECO::Process,Basic,
PMBOK7::Performance Domains,"What dimensions are commonly used to analyze stakeholders?","Power, influence, interest, attitude, proximity, and expectations",Domain::Stakeholders ECO::Process,Basic,
PMBOK7::Performance Domains,"What is the difference between push, pull, and interactive communication methods?","Push = one-way; Pull = self-service; Interactive = two-way exchange",Domain::Stakeholders ECO::Process,Basic,
PMBOK7::Performance Domains,"Stakeholder engagement includes implementing strategies and actions to promote {{c1::productive involvement of stakeholders}}.",,Domain::Stakeholders ECO::Process,Cloze,
PMBOK7::Performance Domains,"Understanding stakeholders' {{c1::feelings}}, {{c1::beliefs}}, and values can uncover threats or opportunities for project outcomes.",,Domain::Stakeholders ECO::Process,Cloze,
PMBOK7::Performance Domains,"The stakeholder engagement cycle follows this iterative flow: {{c1::Identify → Understand → Analyze → Prioritize → Engage → Monitor}} (→ Identify again)",,Domain::Stakeholders ECO::Process,Cloze,
